hash,date,hour,author,type,area,subject
ef2f8512b,2026-04-02,23,Endy Muhardin,fix,frontend,fix: update picomatch 2.3.1→2.3.2 (GHSA-3v7f-55p6-f55p)
707ae3e88,2026-04-02,20,Endy Muhardin,fix,test,fix: manufacturing tests get fresh Spring context via @DirtiesContext
2f6321ba0,2026-04-02,16,Endy Muhardin,other,test,integrate tutorials into GitHub Pages user manual
20ae0b4d1,2026-04-02,16,Endy Muhardin,docs,docs,"docs: complete all industry tutorials (Online Seller, Coffee Shop, Campus)"
51ad5940a,2026-04-02,15,Endy Muhardin,docs,docs,docs: complete IT Service tutorial (8 chapters)
ba7611238,2026-04-02,15,Endy Muhardin,docs,docs,docs: complete all 13 common tutorial guides
ddd0041c1,2026-04-02,15,Endy Muhardin,docs,docs,docs: add first 4 common tutorial guides
a459ad41c,2026-04-02,15,Endy Muhardin,other,test,add tutorial plan and screenshot captures to demo loaders
dde289c92,2026-04-02,15,Endy Muhardin,fix,test,"fix: keep demo tests in CI, use @DirtiesContext for isolation"
05c7560e5,2026-04-02,14,Endy Muhardin,fix,test,fix: CI timeout and demo test isolation
1c74ba6d8,2026-04-02,11,Endy Muhardin,fix,test,fix: data-driven balance assertions handle loss-making companies
857103daa,2026-04-02,11,Endy Muhardin,other,test,add expected-balances.csv per industry and data-driven verification
76f000eae,2026-04-02,9,Endy Muhardin,fix,test,fix: ensure positive Kas and Bank BCA for all industries
66068e08d,2026-04-01,19,Endy Muhardin,fix,test,fix: bank account selection order and coffee shop transfer amounts
7f11498af,2026-04-01,19,Endy Muhardin,fix,test,fix: online seller add TikTok withdrawals for positive bank balance
df9c5c60d,2026-04-01,18,Endy Muhardin,fix,test,"fix: coffee shop template variable, bank transfers, and auto-select dedup"
28d4c2262,2026-04-01,17,Endy Muhardin,other,test,"add demo data for online seller, coffee shop, and campus industries"
9410c3599,2026-04-01,16,Endy Muhardin,fix,test,fix: seller tests to accommodate new seed data products
b92775f6b,2026-04-01,16,Endy Muhardin,docs,test,docs: add comprehensive demo data implementation guide
9abbc6acd,2026-04-01,16,Endy Muhardin,other,test,"verify fiscal adjustments, tax auto-populate, and Coretax SPT lampiran"
3a03923d0,2026-04-01,15,Endy Muhardin,other,test,"verify P&L, balance sheet, fiscal year closing, and Coretax export"
bdbf39897,2026-04-01,9,Endy Muhardin,fix,test,fix: asset purchase accounts and SCENARIO.md with verified numbers
bc6664708,2026-04-01,8,Endy Muhardin,fix,test,fix: depreciation posting and PPN deposits working correctly
3d16acebb,2026-04-01,6,Endy Muhardin,fix,test,"fix: account mapping auto-select, depreciation generation, clean trial balance"
b1ecbd139,2026-04-01,4,Endy Muhardin,fix,test,fix: payroll journal entries now created correctly
42e8053c1,2026-04-01,1,Endy Muhardin,other,test,"add demo datasets, Playwright loaders, and demo banner for balaka.id instances"
268c95b66,2026-03-31,13,Endy Muhardin,other,docs,add demo datasets and Playwright loaders to implementation plan
abf7db461,2026-03-31,13,Endy Muhardin,other,docs,add Docker image creation to implementation plan
865ec35d7,2026-03-23,8,Endy Muhardin,docs,docs,docs: add publish-manual workflow step to section creation checklist
98f58566a,2026-03-23,8,Endy Muhardin,fix,ci,fix: add JournalEntryUiTest to publish-manual workflow for screenshots
96cb8d6d2,2026-03-22,4,Endy Muhardin,fix,test,fix: update OpenAPI workflow count assertion from 18 to 19
8f7b7f2a7,2026-03-21,23,Endy Muhardin,fix,build-other,fix: upgrade Spring Boot 4.0.3 → 4.0.4 to resolve 3 security vulnerabilities
468536bb1,2026-03-21,23,Endy Muhardin,feat,frontend,feat: add free-form journal entry UI for manual debit/credit entries
47ca1b76b,2026-03-21,18,Endy Muhardin,docs,docs,docs: add purge-voided API to user manual and OpenAPI extensions
627d016d7,2026-03-21,13,Endy Muhardin,feat,test,feat: add API endpoint to purge voided transactions (#23)
84497d8eb,2026-03-20,18,Endy Muhardin,fix,main-java,fix: add LogSanitizer to ChartOfAccountApiController log statements
0980202c6,2026-03-20,16,Endy Muhardin,feat,test,feat: add CRUD API endpoints for Chart of Accounts (#21)
70b6bc703,2026-03-20,14,Endy Muhardin,fix,test,fix: handle null checkbox values in form-to-entity mapping (#22)
200196664,2026-03-19,17,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
70930d716,2026-03-19,17,Endy Muhardin,release,docs,release: bump version to 2026.03.4-RELEASE
1dc10a4c2,2026-03-19,12,Endy Muhardin,fix,main-java,fix: catch NumberFormatException in parseYearMonth API method
75b189204,2026-03-19,12,Endy Muhardin,fix,templates,fix: add lang and title to period-selector fragment HTML wrapper
cc214d919,2026-03-19,11,Endy Muhardin,fix,main-java,fix: resolve all SonarCloud issues (54 → 0)
2bbc52e64,2026-03-19,11,Endy Muhardin,fix,templates,"fix: scope test locators to #period-report-content, fix SonarCloud JS issues"
efc36ad5b,2026-03-19,10,Endy Muhardin,fix,templates,fix: highlight active period preset button on page load
24ec3fbb9,2026-03-19,10,Endy Muhardin,test,test,test: verify actual report content from seed data in PeriodReportTest
5a96316ba,2026-03-19,7,Endy Muhardin,fix,test,fix: replace inline onclick handlers with event delegation for CSP
8a9157075,2026-03-19,7,Endy Muhardin,style,frontend,style: sync logo proportions to theme and user manual
4603825c5,2026-03-19,6,Endy Muhardin,feat,templates,feat: reusable period selector fragment across all report pages
4197de91d,2026-03-19,6,Endy Muhardin,other,build-other,update logo proportion and layout
47003f478,2026-03-19,6,Endy Muhardin,refactor,templates,"refactor: reorganize reports index page, cap period dates to today"
96a514417,2026-03-19,6,Endy Muhardin,fix,build-other,fix: widen full logo SVG viewBox from 720 to 850
825de9a5a,2026-03-19,5,Endy Muhardin,style,build-other,"style: unify brand assets — full logo SVGs, brand guidelines, consistent logos"
01a8e3deb,2026-03-19,5,Endy Muhardin,chore,build-other,chore: remove unused logo variants from brand/
dac30b5d6,2026-03-19,5,Endy Muhardin,fix,test,fix: period report page crash due to Thymeleaf #strings.padLeft type mismatch
dc4a2526d,2026-03-19,5,Endy Muhardin,fix,templates,fix: use correct logo b-mark-final.svg in README
d5e169d27,2026-03-19,3,Endy Muhardin,style,build-other,style: apply Balaka brand to README and user manual
b9f4bb8f0,2026-03-18,23,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
faffe9a88,2026-03-18,23,Endy Muhardin,release,build-other,release: bump version to 2026.03.3-RELEASE
e3a57c962,2026-03-18,23,Endy Muhardin,docs,docs,"docs: update 2026.03.3 release notes with FR-001–006, BUG-016–018, sidebar reorg"
6f4842e94,2026-03-18,23,Endy Muhardin,docs,docs,docs: update user manual and API docs for FR-001–006
a344cba31,2026-03-18,23,Endy Muhardin,feat,main-java,feat: tax filing improvements FR-001–006
28608977b,2026-03-18,23,Endy Muhardin,docs,build-other,"docs: add brand assets, release notes, and user manual updates"
91fb51b48,2026-03-18,21,Endy Muhardin,other,templates,rebrand: rename Aplikasi Akunting to Balaka
2b73464c2,2026-03-18,14,Endy Muhardin,docs,docs,"docs: update implementation plan and status for BUG-016–018, period report, sidebar reorg"
9324d752b,2026-03-18,13,Endy Muhardin,docs,main-java,docs: clarify accountSlots accepts both accountHint and lineOrder keys
873cc783d,2026-03-18,13,Endy Muhardin,fix,main-java,fix: resolve accountSlots by lineOrder fallback (BUG-018)
630ae9811,2026-03-18,12,Endy Muhardin,refactor,templates,refactor: reorganize sidebar — separate Master Data from Pengaturan
43b1cda8e,2026-03-18,12,Endy Muhardin,feat,templates,feat: add period report page with closing entry exclusion
729aece24,2026-03-18,9,Endy Muhardin,fix,test,fix: BUG-016 asset mapping and BUG-017 pasal field for SPT lampiran
3f14ca0b6,2026-03-18,5,Endy Muhardin,feat,main-java,feat: add consolidated SPT Tahunan lampiran endpoint
0f32e40a2,2026-03-18,4,Endy Muhardin,fix,main-java,fix: exclude closing journal entries from tax export P&L (BUG-014)
a2355c208,2026-03-17,22,Endy Muhardin,fix,deploy,fix: switch from ZGC to SerialGC for 2GB VPS
c8ecb2fe1,2026-03-17,22,Endy Muhardin,feat,test,feat: add free-form journal entry API — Phase 20
53540f065,2026-03-17,16,Endy Muhardin,fix,main-java,fix: add DTO validation for payroll schedule and table headers for accessibility
13fa0a3ea,2026-03-17,12,Endy Muhardin,fix,main-java,fix: enable remember-me authentication for login
cfc35ffa7,2026-03-17,12,Endy Muhardin,fix,main-java,fix: redirect to original URL after login instead of always /dashboard
4cb593ed5,2026-03-17,12,Endy Muhardin,fix,templates,fix: device authorization success page buttons not working
5f11a2ee7,2026-03-17,11,Endy Muhardin,test,test,test: add functional tests for scheduled payroll — Phase 19
0131e01a2,2026-03-17,11,Endy Muhardin,feat,main-java,feat: implement scheduled payroll — Phase 19
3832e5f86,2026-03-17,10,Endy Muhardin,docs,docs,docs: explain zero PPh 21 behavior for low-salary UMKM employees
54cadcce6,2026-03-17,10,Endy Muhardin,fix,main-java,fix: skip zero-amount journal entries in template execution
a59963cb3,2026-03-17,10,Endy Muhardin,docs,main-java,docs: add transaction query cross-reference to payroll post endpoint
46bee53d9,2026-03-17,9,Endy Muhardin,feat,main-java,"feat: split BPJS variables in payroll posting, configurable template ID"
a1010bab2,2026-03-17,9,Endy Muhardin,fix,main-java,fix: look up payroll template by name instead of hardcoded UUID
51130f402,2026-03-17,9,Endy Muhardin,docs,main-java,docs: add payroll API lifecycle and status requirements to OpenAPI annotations
28ef0e673,2026-03-17,8,Endy Muhardin,feat,main-java,feat: implement PPh 21 TER method (PMK 168/2023) — Phase 18
62f6263e7,2026-03-17,1,Endy Muhardin,docs,docs,docs: document non-overlapping salary component assignment behavior
7cd321410,2026-03-16,21,Endy Muhardin,fix,test,"fix: extend encrypted columns to VARCHAR(255), allow non-overlapping salary assignments (BUG-007, BUG-008)"
03b3d93c5,2026-03-16,16,Endy Muhardin,fix,main-java,fix: return 400 instead of 500 for missing employeeId in POST /api/employees (BUG-005)
15b8f8cf1,2026-03-16,11,Endy Muhardin,test,test,test: add functional test for snapshot API separate month+year params
65b9c1a37,2026-03-16,11,Endy Muhardin,fix,main-java,fix: support separate month+year params in snapshot API
2e7cc0b11,2026-03-16,11,Endy Muhardin,fix,main-java,fix: resolve SonarCloud production code issues
b0bd25859,2026-03-16,10,Endy Muhardin,fix,main-java,fix: resolve SonarCloud reliability and maintainability issues
363145a66,2026-03-16,5,Endy Muhardin,fix,test,fix: stabilize SptChecklistFunctionalTest for CI
44a4e4eeb,2026-03-16,4,Endy Muhardin,fix,test,fix: correct SptTahunanApiTest JSON field name assertions
b0d834e34,2026-03-16,2,Endy Muhardin,test,test,test: add SPT Tahunan API endpoint tests and update checklist test data
65db3460f,2026-03-15,23,Endy Muhardin,fix,test,fix: update OpenAPI workflow count assertion from 16 to 18
9b361e2b5,2026-03-15,20,Endy Muhardin,fix,build-other,fix: resolve InvoiceService circular dependency with lombok.config
430cebcf4,2026-03-15,20,Endy Muhardin,feat,main-java,feat: implement Phase 17 SPT Tahunan Badan data export
3084e9669,2026-03-15,20,Endy Muhardin,docs,docs,docs: add Phase 17 (SPT Tahunan data export) and Phase 18 (WhatsApp)
12598ffdc,2026-03-15,19,Endy Muhardin,fix,main-java,fix: resolve SonarCloud issues and exclude false positives
e9f618a14,2026-03-15,11,Endy Muhardin,ci,ci,ci: remove redundant weekly scheduled run
ca453599d,2026-03-15,10,Endy Muhardin,ci,build-other,ci: add codecov config with custom badge color range
2c0b71454,2026-03-15,10,Endy Muhardin,docs,docs,docs: sync documentation with current project state
d2d8389fe,2026-03-15,5,Endy Muhardin,test,test,test: add coverage tests to achieve 80% line coverage (57% → 81%)
55777f508,2026-03-14,4,Endy Muhardin,ci,ci,ci: increase test step timeout from 60 to 90 minutes
658d2d257,2026-03-14,3,Endy Muhardin,refactor,templates,refactor: migrate from thymeleaf-layout-dialect to built-in parameterized fragments
a79f3bad4,2026-03-11,4,Endy Muhardin,test,test,"test: add coverage tests for controllers, services, and inventory reports"
985bd1963,2026-03-10,20,Endy Muhardin,fix,test,fix: improve test coverage for low-coverage controllers and services
af1960027,2026-03-10,17,Endy Muhardin,fix,main-java,fix: address all 141 SonarCloud code smells
de9b91622,2026-03-10,9,Endy Muhardin,fix,templates,fix: add title and lang attributes to Thymeleaf fragment templates
7900b5359,2026-03-10,6,Endy Muhardin,fix,main-java,fix: reduce code duplication with shared superclasses and template fragments
8951556e7,2026-03-09,7,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
fff3f6350,2026-03-09,7,Endy Muhardin,release,docs,release: 2026.03.2-RELEASE (security hardening + code quality)
cd31e1603,2026-03-09,7,Endy Muhardin,fix,main-java,"fix: address SonarCloud code smells — string duplication, wildcard types, accessibility"
7a59e6dde,2026-03-09,5,Endy Muhardin,fix,deploy,fix: resolve all 6 Dependabot security alerts
d11dc4acf,2026-03-08,19,Endy Muhardin,fix,build-other,fix: suppress BEAN_PROPERTY_INJECTION false positives in SpotBugs
07994c877,2026-03-08,12,Endy Muhardin,fix,main-java,fix: replace JPA entities with form DTOs in MVC controllers (S4684)
ec4545044,2026-03-08,5,Endy Muhardin,fix,main-java,"fix: address SonarCloud issues — S6218 bug, S4684 API vulnerability, log injection"
4df2766c7,2026-03-08,5,Endy Muhardin,fix,main-java,"fix: address code scanning alerts — unused param, log injection"
f7080dd08,2026-03-08,5,Endy Muhardin,docs,build-other,docs: update current release to 2026.03.1-RELEASE
54814fcab,2026-03-08,5,Endy Muhardin,chore,build-other,chore: prepare for next development iteration
8cae422f6,2026-03-08,5,Endy Muhardin,release,docs,"release: 2026.03.1-RELEASE (Phase 14 + 15 + 16, Spring Boot 4.0.3)"
02de5514b,2026-03-08,5,Endy Muhardin,docs,docs,docs: remove credentials and server-specific references from operations guide
48e22424a,2026-03-08,5,Endy Muhardin,docs,resources,"docs: update OpenAPI extensions — clarify DRAFT workflow, add payroll/fiscal workflows"
8c2b24b96,2026-03-08,4,Endy Muhardin,docs,docs,docs: update features and roadmap — all phases complete
9403d1209,2026-03-08,4,Endy Muhardin,chore,build-other,chore: upgrade Spring Boot 4.0.2 → 4.0.3
808f0b26a,2026-03-08,3,Endy Muhardin,fix,build-other,fix: add SpotBugs exclusions for Phase 14/15 API controllers
